property_id,city,state,county,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,last_sale_price,assessed_value,owner_occupied,avm_value_modelA,avm_value_modelB,assessment_ratio,assessment_flag,avm_residual_pct
P-100001,Honolulu,HI,Honolulu,Single Family,6,5.0,1312,10986,1974,546937.17,473424.11,False,525730.36,658817.45,1.1553,Under-assessed,3.88
P-100002,Pittsburgh,PA,Allegheny,Single Family,6,4.0,3387,7939,1939,287944.73,259431.97,False,292523.01,315908.06,1.1099,Under-assessed,-1.59
P-100004,Bronx,NY,Bronx,Single Family,5,2.0,4975,16921,1951,948377.61,835505.83,True,919118.49,1282200.7,1.1351,Under-assessed,3.09
P-100005,Tucson,AZ,Pima,Townhouse,6,3.5,2341,13079,1983,428592.88,401872.5,True,423951.11,450958.77,1.0665,Within band,1.08
P-100006,Grand Rapids,MI,Kent,Single Family,7,1.5,1852,12132,1940,737821.9,722270.61,True,755312.7,504117.51,1.0215,Within band,-2.37
P-100007,Houston,TX,Harris,Single Family,4,1.0,6495,10810,1984,714330.52,767039.79,False,737849.36,594331.96,0.9313,Within band,-3.29
P-100008,Cleveland,OH,Cuyahoga,Townhouse,7,3.0,2561,3510,1950,804847.49,664559.38,False,739166.22,664747.92,1.2111,Under-assessed,8.16
P-100009,Indianapolis,IN,Marion,Condo,5,2.5,6440,11547,1971,896216.5,817372.88,True,842592.52,684171.69,1.0965,Within band,5.98
P-100010,Tucson,AZ,Pima,Condo,1,1.0,3306,4466,1985,305643.61,289024.04,True,301366.27,381183.09,1.0575,Within band,1.4
P-100012,Decatur,GA,DeKalb,Condo,1,1.0,5942,14798,1921,875817.08,923644.33,False,901210.03,691995.9,0.9482,Within band,-2.9
P-100013,Austin,TX,Travis,Condo,6,4.5,1868,4979,1957,289806.7,282200.46,True,295858.48,340865.58,1.027,Within band,-2.09
P-100014,Bronx,NY,Bronx,Single Family,6,2.5,3907,5871,1992,1200956.81,975083.85,True,1120017.56,1512695.2,1.2316,Under-assessed,6.74
P-100015,Naperville,IL,DuPage,Condo,4,3.5,1194,1346,1978,604504.22,664246.73,True,669897.9,506667.0,0.9101,Within band,-10.82
P-100016,Charlotte,NC,Mecklenburg,Condo,5,5.0,664,11606,1990,353515.43,293798.17,True,339371.19,514110.38,1.2033,Under-assessed,4.0
P-100017,Naperville,IL,DuPage,Condo,7,1.0,1356,11748,1974,766891.51,614328.96,False,720809.61,620393.05,1.2483,Under-assessed,6.01
P-100018,Fort Wayne,IN,Allen,Single Family,5,1.0,3624,13167,1990,235513.15,191365.89,True,233890.51,359859.29,1.2307,Under-assessed,0.69
P-100019,Fort Lauderdale,FL,Broward,Condo,7,2.0,2050,8805,1923,259901.32,268924.04,True,272915.86,315923.29,0.9664,Within band,-5.01
P-100020,Rockville,MD,Montgomery,Condo,2,1.0,6006,9170,1971,693914.34,569583.09,False,658185.79,753870.41,1.2183,Under-assessed,5.15
P-100021,Orlando,FL,Orange,Single Family,5,4.0,3431,15367,2020,364668.31,399410.54,True,384368.34,370166.3,0.913,Within band,-5.4
P-100022,Austin,TX,Travis,Townhouse,5,3.5,6034,8075,2012,822036.53,733902.21,True,802648.19,781194.26,1.1201,Under-assessed,2.36
P-100023,Atlanta,GA,Fulton,Condo,2,4.0,5351,15290,2003,371354.4,346342.92,False,371599.89,430654.49,1.0722,Within band,-0.07
P-100024,Reno,NV,Washoe,Single Family,1,1.0,2605,10389,1998,782795.4,733185.62,True,792996.45,600641.48,1.0677,Within band,-1.3
P-100025,Charlotte,NC,Mecklenburg,Condo,4,1.0,5166,9248,1935,476040.22,447188.84,False,472078.02,574946.87,1.0645,Within band,0.83
P-100026,Minneapolis,MN,Hennepin,Condo,7,2.5,5823,10366,2018,726586.37,717885.16,True,812188.23,567253.98,1.0121,Within band,-11.78
P-100027,San Francisco,CA,San Francisco,Condo,1,4.0,3939,9360,1989,1871069.13,1612955.74,False,1811818.76,1743097.25,1.16,Under-assessed,3.17
P-100028,Cincinnati,OH,Hamilton,Multi Family,5,5.0,5541,9154,1982,291148.88,275337.34,False,287148.35,414607.09,1.0574,Within band,1.37
P-100029,Jacksonville,FL,Duval,Single Family,6,4.0,1711,9275,1943,159222.01,143014.13,True,153167.83,161260.15,1.1133,Under-assessed,3.8
