property_id,city,state,county,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,last_sale_price,assessed_value,owner_occupied
P-100001,Honolulu,HI,Honolulu,Single Family,6,5.0,1312,10986,1974,546937.17,473424.11,False
P-100002,Pittsburgh,PA,Allegheny,Single Family,6,4.0,3387,7939,1939,287944.73,259431.97,False
P-100004,Bronx,NY,Bronx,Single Family,5,2.0,4975,16921,1951,948377.61,835505.83,True
P-100005,Tucson,AZ,Pima,Townhouse,6,3.5,2341,13079,1983,428592.88,401872.5,True
P-100006,Grand Rapids,MI,Kent,Single Family,7,1.5,1852,12132,1940,737821.9,722270.61,True
P-100007,Houston,TX,Harris,Single Family,4,1.0,6495,10810,1984,714330.52,767039.79,False
P-100008,Cleveland,OH,Cuyahoga,Townhouse,7,3.0,2561,3510,1950,804847.49,664559.38,False
P-100009,Indianapolis,IN,Marion,Condo,5,2.5,6440,11547,1971,896216.5,817372.88,True
P-100010,Tucson,AZ,Pima,Condo,1,1.0,3306,4466,1985,305643.61,289024.04,True
P-100012,Decatur,GA,DeKalb,Condo,1,1.0,5942,14798,1921,875817.08,923644.33,False
P-100013,Austin,TX,Travis,Condo,6,4.5,1868,4979,1957,289806.7,282200.46,True
P-100014,Bronx,NY,Bronx,Single Family,6,2.5,3907,5871,1992,1200956.81,975083.85,True
P-100015,Naperville,IL,DuPage,Condo,4,3.5,1194,1346,1978,604504.22,664246.73,True
P-100016,Charlotte,NC,Mecklenburg,Condo,5,5.0,664,11606,1990,353515.43,293798.17,True
P-100017,Naperville,IL,DuPage,Condo,7,1.0,1356,11748,1974,766891.51,614328.96,False
P-100018,Fort Wayne,IN,Allen,Single Family,5,1.0,3624,13167,1990,235513.15,191365.89,True
P-100019,Fort Lauderdale,FL,Broward,Condo,7,2.0,2050,8805,1923,259901.32,268924.04,True
P-100020,Rockville,MD,Montgomery,Condo,2,1.0,6006,9170,1971,693914.34,569583.09,False
P-100021,Orlando,FL,Orange,Single Family,5,4.0,3431,15367,2020,364668.31,399410.54,True
P-100022,Austin,TX,Travis,Townhouse,5,3.5,6034,8075,2012,822036.53,733902.21,True
P-100023,Atlanta,GA,Fulton,Condo,2,4.0,5351,15290,2003,371354.4,346342.92,False
P-100024,Reno,NV,Washoe,Single Family,1,1.0,2605,10389,1998,782795.4,733185.62,True
P-100025,Charlotte,NC,Mecklenburg,Condo,4,1.0,5166,9248,1935,476040.22,447188.84,False
P-100026,Minneapolis,MN,Hennepin,Condo,7,2.5,5823,10366,2018,726586.37,717885.16,True
